profile,metric,lists,probes,clients,jobs,repeat,latency_avg_ms,tps,transactions,failed_transactions,query_count,top_k,returned_items,matched_items,expected_items,recall_at_k,min_query_recall,max_query_recall
list-cache-ab,l2,1000,1,1,1,1,0.546,1832.644719,27486,0,1000,10,10000,862,10000,0.086200,0.000000,1.000000
list-cache-ab,l2,1000,1,1,1,2,0.525,1906.161310,28589,0,1000,10,10000,862,10000,0.086200,0.000000,1.000000
list-cache-ab,l2,1000,1,1,1,3,0.519,1927.504906,28909,0,1000,10,10000,862,10000,0.086200,0.000000,1.000000
list-cache-ab,l2,1000,1,12,1,1,0.797,15056.241045,225304,0,1000,10,10000,862,10000,0.086200,0.000000,1.000000
list-cache-ab,l2,1000,1,12,1,2,0.790,15189.014460,227373,0,1000,10,10000,862,10000,0.086200,0.000000,1.000000
list-cache-ab,l2,1000,1,12,1,3,0.804,14931.226356,223531,0,1000,10,10000,862,10000,0.086200,0.000000,1.000000
list-cache-ab,l2,1000,10,1,1,1,2.137,468.021654,7020,0,1000,10,10000,4588,10000,0.458800,0.000000,1.000000
list-cache-ab,l2,1000,10,1,1,2,2.114,473.001640,7095,0,1000,10,10000,4588,10000,0.458800,0.000000,1.000000
list-cache-ab,l2,1000,10,1,1,3,2.124,470.715966,7060,0,1000,10,10000,4588,10000,0.458800,0.000000,1.000000
list-cache-ab,l2,1000,10,12,1,1,2.729,4396.790449,65823,0,1000,10,10000,4588,10000,0.458800,0.000000,1.000000
list-cache-ab,l2,1000,10,12,1,2,2.830,4240.539936,63490,0,1000,10,10000,4588,10000,0.458800,0.000000,1.000000
list-cache-ab,l2,1000,10,12,1,3,3.068,3910.925120,58548,0,1000,10,10000,4588,10000,0.458800,0.000000,1.000000
