status,metric,lists,probes,clients,jobs,repeat,baseline_profile,candidate_profile,baseline_latency_avg_ms,candidate_latency_avg_ms,latency_change_pct,baseline_tps,candidate_tps,tps_change_pct,baseline_recall_at_k,candidate_recall_at_k,recall_change,baseline_failed_transactions,candidate_failed_transactions,baseline_returned_items,candidate_returned_items,baseline_matched_items,candidate_matched_items
matched,l2,1000,1,1,1,1,list-cache-ab,list-cache-ab,0.546,0.509,-6.776557,1832.644719,1962.709781,7.097124,0.086200,0.086200,0.000000,0,0,10000,10000,862,862
matched,l2,1000,1,1,1,2,list-cache-ab,list-cache-ab,0.525,0.524,-0.190476,1906.161310,1909.164624,0.157558,0.086200,0.086200,0.000000,0,0,10000,10000,862,862
matched,l2,1000,1,1,1,3,list-cache-ab,list-cache-ab,0.519,0.518,-0.192678,1927.504906,1932.301053,0.248827,0.086200,0.086200,0.000000,0,0,10000,10000,862,862
matched,l2,1000,1,12,1,1,list-cache-ab,list-cache-ab,0.797,0.845,6.022585,15056.241045,14205.030427,-5.653540,0.086200,0.086200,0.000000,0,0,10000,10000,862,862
matched,l2,1000,1,12,1,2,list-cache-ab,list-cache-ab,0.790,0.774,-2.025316,15189.014460,15508.184335,2.101321,0.086200,0.086200,0.000000,0,0,10000,10000,862,862
matched,l2,1000,1,12,1,3,list-cache-ab,list-cache-ab,0.804,0.782,-2.736318,14931.226356,15336.640873,2.715212,0.086200,0.086200,0.000000,0,0,10000,10000,862,862
matched,l2,1000,10,1,1,1,list-cache-ab,list-cache-ab,2.137,2.064,-3.416004,468.021654,484.594748,3.541096,0.458800,0.458800,0.000000,0,0,10000,10000,4588,4588
matched,l2,1000,10,1,1,2,list-cache-ab,list-cache-ab,2.114,2.060,-2.554399,473.001640,485.539645,2.650732,0.458800,0.458800,0.000000,0,0,10000,10000,4588,4588
matched,l2,1000,10,1,1,3,list-cache-ab,list-cache-ab,2.124,2.061,-2.966102,470.715966,485.112591,3.058453,0.458800,0.458800,0.000000,0,0,10000,10000,4588,4588
matched,l2,1000,10,12,1,1,list-cache-ab,list-cache-ab,2.729,2.680,-1.795529,4396.790449,4477.222340,1.829332,0.458800,0.458800,0.000000,0,0,10000,10000,4588,4588
matched,l2,1000,10,12,1,2,list-cache-ab,list-cache-ab,2.830,2.916,3.038869,4240.539936,4115.610087,-2.946084,0.458800,0.458800,0.000000,0,0,10000,10000,4588,4588
matched,l2,1000,10,12,1,3,list-cache-ab,list-cache-ab,3.068,2.803,-8.637549,3910.925120,4281.782180,9.482592,0.458800,0.458800,0.000000,0,0,10000,10000,4588,4588
