profile,metric,lists,probes,clients,jobs,repeat,latency_avg_ms,tps,transactions,failed_transactions,query_count,top_k,returned_items,matched_items,expected_items,recall_at_k,min_query_recall,max_query_recall
ivfflat-ab,ip,100,1,1,1,1,0.890,1123.099873,67384,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,1,1,2,0.887,1127.318524,67637,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,1,1,3,0.884,1130.971994,67856,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,12,1,1,1.239,9682.680672,580667,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,12,1,2,1.249,9604.061325,575980,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,12,1,3,1.271,9441.332482,566207,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,10,1,1,1,6.984,143.183784,8591,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,1,1,2,6.911,144.691208,8682,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,1,1,3,6.915,144.617496,8677,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,12,1,1,9.567,1254.286529,75234,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,12,1,2,9.638,1245.087980,74679,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,12,1,3,9.661,1242.120378,74504,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,20,1,1,1,13.973,71.567087,4294,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,1,1,2,13.852,72.190478,4332,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,1,1,3,13.893,71.980431,4319,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,12,1,1,19.487,615.787915,36941,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,12,1,2,19.502,615.316847,36911,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,12,1,3,19.606,612.069107,36718,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
