profile,metric,lists,probes,clients,jobs,repeat,latency_avg_ms,tps,transactions,failed_transactions,query_count,top_k,returned_items,matched_items,expected_items,recall_at_k,min_query_recall,max_query_recall
ivfflat-ab,ip,100,1,1,1,1,0.862,1160.616747,69634,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,1,1,2,0.861,1161.815773,69706,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,1,1,3,0.890,1123.784316,67424,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,12,1,1,1.352,8877.351669,532383,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,12,1,2,1.320,9094.195673,545364,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,1,12,1,3,1.298,9246.389485,554523,0,1000,10,10000,1453,10000,0.145300,0.000000,1.000000
ivfflat-ab,ip,100,10,1,1,1,6.880,145.339006,8720,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,1,1,2,6.811,146.823743,8810,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,1,1,3,6.736,148.450230,8907,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,12,1,1,9.362,1281.839321,76881,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,12,1,2,9.426,1273.087730,76359,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,10,12,1,3,9.391,1277.826830,76640,0,1000,10,10000,5314,10000,0.531400,0.000000,1.000000
ivfflat-ab,ip,100,20,1,1,1,13.318,75.087900,4506,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,1,1,2,13.617,73.435332,4406,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,1,1,3,13.627,73.385417,4404,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,12,1,1,18.705,641.545307,38485,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,12,1,2,18.694,641.923266,38505,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
ivfflat-ab,ip,100,20,12,1,3,18.950,633.257292,37987,0,1000,10,10000,7121,10000,0.712100,0.000000,1.000000
