status,metric,lists,probes,clients,jobs,repeat,baseline_profile,candidate_profile,baseline_latency_avg_ms,candidate_latency_avg_ms,latency_change_pct,baseline_tps,candidate_tps,tps_change_pct,baseline_recall_at_k,candidate_recall_at_k,recall_change,baseline_failed_transactions,candidate_failed_transactions,baseline_returned_items,candidate_returned_items,baseline_matched_items,candidate_matched_items
matched,ip,100,1,1,1,1,ivfflat-ab,ivfflat-ab,0.890,0.862,-3.146067,1123.099873,1160.616747,3.340475,0.145300,0.145300,0.000000,0,0,10000,10000,1453,1453
matched,ip,100,1,1,1,2,ivfflat-ab,ivfflat-ab,0.887,0.861,-2.931229,1127.318524,1161.815773,3.060116,0.145300,0.145300,0.000000,0,0,10000,10000,1453,1453
matched,ip,100,1,1,1,3,ivfflat-ab,ivfflat-ab,0.884,0.890,0.678733,1130.971994,1123.784316,-0.635531,0.145300,0.145300,0.000000,0,0,10000,10000,1453,1453
matched,ip,100,1,12,1,1,ivfflat-ab,ivfflat-ab,1.239,1.352,9.120258,9682.680672,8877.351669,-8.317211,0.145300,0.145300,0.000000,0,0,10000,10000,1453,1453
matched,ip,100,1,12,1,2,ivfflat-ab,ivfflat-ab,1.249,1.320,5.684548,9604.061325,9094.195673,-5.308855,0.145300,0.145300,0.000000,0,0,10000,10000,1453,1453
matched,ip,100,1,12,1,3,ivfflat-ab,ivfflat-ab,1.271,1.298,2.124312,9441.332482,9246.389485,-2.064783,0.145300,0.145300,0.000000,0,0,10000,10000,1453,1453
matched,ip,100,10,1,1,1,ivfflat-ab,ivfflat-ab,6.984,6.880,-1.489118,143.183784,145.339006,1.505214,0.531400,0.531400,0.000000,0,0,10000,10000,5314,5314
matched,ip,100,10,1,1,2,ivfflat-ab,ivfflat-ab,6.911,6.811,-1.446969,144.691208,146.823743,1.473853,0.531400,0.531400,0.000000,0,0,10000,10000,5314,5314
matched,ip,100,10,1,1,3,ivfflat-ab,ivfflat-ab,6.915,6.736,-2.588576,144.617496,148.450230,2.650256,0.531400,0.531400,0.000000,0,0,10000,10000,5314,5314
matched,ip,100,10,12,1,1,ivfflat-ab,ivfflat-ab,9.567,9.362,-2.142782,1254.286529,1281.839321,2.196690,0.531400,0.531400,0.000000,0,0,10000,10000,5314,5314
matched,ip,100,10,12,1,2,ivfflat-ab,ivfflat-ab,9.638,9.426,-2.199626,1245.087980,1273.087730,2.248817,0.531400,0.531400,0.000000,0,0,10000,10000,5314,5314
matched,ip,100,10,12,1,3,ivfflat-ab,ivfflat-ab,9.661,9.391,-2.794742,1242.120378,1277.826830,2.874637,0.531400,0.531400,0.000000,0,0,10000,10000,5314,5314
matched,ip,100,20,1,1,1,ivfflat-ab,ivfflat-ab,13.973,13.318,-4.687612,71.567087,75.087900,4.919598,0.712100,0.712100,0.000000,0,0,10000,10000,7121,7121
matched,ip,100,20,1,1,2,ivfflat-ab,ivfflat-ab,13.852,13.617,-1.696506,72.190478,73.435332,1.724402,0.712100,0.712100,0.000000,0,0,10000,10000,7121,7121
matched,ip,100,20,1,1,3,ivfflat-ab,ivfflat-ab,13.893,13.627,-1.914633,71.980431,73.385417,1.951900,0.712100,0.712100,0.000000,0,0,10000,10000,7121,7121
matched,ip,100,20,12,1,1,ivfflat-ab,ivfflat-ab,19.487,18.705,-4.012932,615.787915,641.545307,4.182835,0.712100,0.712100,0.000000,0,0,10000,10000,7121,7121
matched,ip,100,20,12,1,2,ivfflat-ab,ivfflat-ab,19.502,18.694,-4.143165,615.316847,641.923266,4.324019,0.712100,0.712100,0.000000,0,0,10000,10000,7121,7121
matched,ip,100,20,12,1,3,ivfflat-ab,ivfflat-ab,19.606,18.950,-3.345915,612.069107,633.257292,3.461731,0.712100,0.712100,0.000000,0,0,10000,10000,7121,7121
