profile,metric,lists,probes,clients,jobs,repeat,latency_avg_ms,tps,transactions,failed_transactions,query_count,top_k,returned_items,matched_items,expected_items,recall_at_k,min_query_recall,max_query_recall
ivfflat-ab,l2,100,1,1,1,1,3.317,301.437167,18086,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,1,1,2,3.398,294.318163,17659,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,1,1,3,3.319,301.284071,18077,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,12,1,1,4.399,2728.185967,163621,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,12,1,2,4.419,2715.393205,162857,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,12,1,3,4.392,2732.059764,163858,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,10,1,1,1,31.501,31.744997,1905,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,1,1,2,31.003,32.255410,1936,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,1,1,3,31.072,32.183499,1932,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,12,1,1,41.935,286.155447,17171,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,12,1,2,41.976,285.875443,17154,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,12,1,3,42.139,284.773578,17088,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,20,1,1,1,56.744,17.622954,1058,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,1,1,2,56.348,17.746935,1065,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,1,1,3,56.186,17.798128,1068,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,12,1,1,76.223,157.432427,9451,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,12,1,2,76.203,157.474824,9453,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,12,1,3,76.508,156.846342,9418,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
