profile,metric,lists,probes,clients,jobs,repeat,latency_avg_ms,tps,transactions,failed_transactions,query_count,top_k,returned_items,matched_items,expected_items,recall_at_k,min_query_recall,max_query_recall
ivfflat-ab,l2,100,1,1,1,1,3.277,305.202889,18312,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,1,1,2,3.265,306.307423,18378,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,1,1,3,3.268,306.029408,18361,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,12,1,1,4.366,2748.325413,164822,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,12,1,2,4.403,2725.720930,163464,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,1,12,1,3,4.441,2701.852565,162042,0,1000,10,10000,1798,10000,0.179800,0.000000,1.000000
ivfflat-ab,l2,100,10,1,1,1,31.675,31.570529,1895,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,1,1,2,31.462,31.784333,1907,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,1,1,3,31.132,32.121221,1928,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,12,1,1,41.954,286.026025,17162,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,12,1,2,42.256,283.985695,17039,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,10,12,1,3,42.549,282.026799,16923,0,1000,10,10000,7301,10000,0.730100,0.000000,1.000000
ivfflat-ab,l2,100,20,1,1,1,56.880,17.580817,1055,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,1,1,2,56.574,17.675927,1061,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,1,1,3,56.370,17.739806,1065,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,12,1,1,76.095,157.697074,9468,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,12,1,2,76.442,156.981787,9425,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
ivfflat-ab,l2,100,20,12,1,3,76.758,156.336379,9386,0,1000,10,10000,9050,10000,0.905000,0.000000,1.000000
